experiment,best_epoch,qwk,acc,tau,r_alpha,r_beta_mean,r_beta_thresholds
q1000_k2_linear_decay,6,0.4121668934822082,0.7061590552330017,0.2599816268357413,0.4799077352212696,0.4933327565098855,0.4933
q1000_k2_separable,9,0.4174803793430328,0.7087520956993103,0.2630329424236649,0.6413419450358844,0.6565366947907724,0.6565
q1000_k2_static_item,7,0.4223620295524597,0.711204469203949,0.2657529888643838,0.4226274769904011,0.7321037565788435,0.7321
q1000_k3_linear_decay,11,0.5971989631652832,0.5944649577140808,0.4333670158545771,0.5515059717916897,0.7731439643306173,"0.7561,0.7902"
q1000_k3_separable,9,0.5983547568321228,0.5929397344589233,0.434985128623068,0.6334767205016194,0.7468244923325762,"0.6957,0.7980"
q1000_k3_static_item,14,0.5995331406593323,0.5973749756813049,0.43397073597914,0.7392065021920233,0.8466108922918005,"0.8479,0.8454"
q1000_k4_linear_decay,10,0.6908769607543945,0.5337870121002197,0.5203560372248293,0.1980057807992374,0.8297850586872927,"0.7733,0.8480,0.8681"
q1000_k4_separable,12,0.6960572004318237,0.5364771485328674,0.5228901623622221,0.7177271466945341,0.9133836549301316,"0.9037,0.9222,0.9143"
q1000_k4_static_item,10,0.6934590339660645,0.5354533195495605,0.5202779612765436,0.6177923665380852,0.8763136809866158,"0.8355,0.8945,0.8990"
q1000_k5_linear_decay,11,0.7543680667877197,0.4950735569000244,0.5738109776043977,0.2690392031520321,0.8799338578903653,"0.8277,0.9035,0.9049,0.8836"
q1000_k5_separable,15,0.7537468075752258,0.4967591762542724,0.5722718770280076,0.6443118528599434,0.9400105474659703,"0.9313,0.9550,0.9500,0.9237"
q1000_k5_static_item,12,0.752518355846405,0.4969799220561981,0.5707669007668169,0.5482587544481877,0.9026836862330836,"0.8939,0.9189,0.9142,0.8837"
q1000_k6_linear_decay,8,0.7892526388168335,0.465824156999588,0.6055296621931119,0.056084928936283,0.918433197916872,"0.8669,0.9158,0.9383,0.9429,0.9283"
q1000_k6_separable,13,0.7900357246398926,0.4675922095775604,0.605635251744844,0.5075166298880008,0.9432049966887008,"0.9229,0.9534,0.9590,0.9522,0.9285"
q1000_k6_static_item,15,0.7894530892372131,0.4653419554233551,0.605651058073503,0.7023692924785198,0.913289445540947,"0.9023,0.9272,0.9327,0.9207,0.8835"
q2000_k2_linear_decay,3,0.4153280258178711,0.7076796293258667,0.2618208035218518,0.0921672664837259,0.6536496910060745,0.6536
q2000_k2_separable,7,0.4216728806495666,0.7108606696128845,0.2653671057782385,0.2150937686341426,0.7011908694004441,0.7012
q2000_k2_static_item,7,0.4287095367908478,0.7143558263778687,0.2693130277661388,0.2993661374058708,0.7320252372410777,0.7320
q2000_k3_linear_decay,10,0.5955659747123718,0.5941389799118042,0.4314002914222581,0.0694596330049009,0.7593926149529513,"0.7069,0.8119"
q2000_k3_separable,14,0.6076271533966064,0.6005292534828186,0.4397955366209136,0.4526640597738452,0.6741511501833966,"0.6553,0.6930"
q2000_k3_static_item,12,0.6129354238510132,0.6061550378799438,0.4420756359384309,0.49134324318563,0.7098598046523643,"0.6789,0.7408"
q2000_k4_linear_decay,14,0.6868069171905518,0.5311523675918579,0.5157891150955041,0.2480611358793051,0.8559945586985086,"0.8430,0.8730,0.8520"
q2000_k4_separable,13,0.6994946002960205,0.5341192483901978,0.5251968345559758,0.4328026225878613,0.8788222393616615,"0.8523,0.9012,0.8830"
q2000_k4_static_item,10,0.7001032829284668,0.538756251335144,0.5238450964542902,0.2938887572539322,0.898734860056582,"0.8710,0.9116,0.9136"
q2000_k5_linear_decay,15,0.754716157913208,0.4979850947856903,0.5727678523953748,0.2161856725219874,0.9014603663446652,"0.8564,0.9021,0.9275,0.9198"
q2000_k5_separable,15,0.7587973475456238,0.4994004368782043,0.5753736355439105,0.2746447549986924,0.909343634077037,"0.8745,0.9177,0.9287,0.9165"
q2000_k5_static_item,14,0.7628876566886902,0.5046097040176392,0.577459076007833,0.3512259424333774,0.9236154808768634,"0.9029,0.9378,0.9371,0.9166"
q2000_k6_linear_decay,13,0.7967162728309631,0.4673510491847992,0.6106423647108893,0.0738560543002926,0.919238717945783,"0.8790,0.9226,0.9408,0.9339,0.9199"
q2000_k6_separable,12,0.79988694190979,0.472640722990036,0.6118286390915202,0.2152867912590537,0.9321085598015468,"0.9024,0.9354,0.9433,0.9475,0.9320"
q2000_k6_static_item,13,0.8017898797988892,0.4755598306655884,0.6129710282707994,0.2815547247470796,0.9331163777478848,"0.9116,0.9443,0.9467,0.9404,0.9226"
q200_k2_linear_decay,15,0.4059631824493408,0.7038207054138184,0.2557202801276332,0.7714048170377902,0.7072930933895625,0.7073
q200_k2_separable,9,0.4100745916366577,0.7054503560066223,0.2584609868138225,0.8418554130905855,0.6568182438883438,0.6568
q200_k2_static_item,14,0.4100954234600067,0.7057924270629883,0.2581375268224328,0.8109519628797978,0.806213658833006,0.8062
q200_k3_linear_decay,9,0.5916988849639893,0.5967618227005005,0.4298778129151627,0.507014284851915,0.7508165363031746,"0.7585,0.7431"
q200_k3_separable,8,0.5925174355506897,0.5954529047012329,0.4306451436915883,0.5863689895196043,0.6298059580087134,"0.6005,0.6591"
q200_k3_static_item,9,0.5923705697059631,0.5955334305763245,0.429901715698388,0.7544507963677267,0.8159802888292382,"0.8143,0.8177"
q200_k4_focal_only,7,0.6786156296730042,0.529017448425293,0.5074985091906292,0.5334902296517635,0.8643744999622079,"0.8208,0.8835,0.8889"
q200_k4_linear_decay,7,0.6836820244789124,0.5227771401405334,0.5154739821264026,0.3186925664633919,0.8608410615966223,"0.8326,0.8754,0.8745"
q200_k4_separable,12,0.684109628200531,0.5291986465454102,0.5146653179238574,0.7388324998435543,0.8716213140580763,"0.8888,0.8708,0.8553"
q200_k4_static_item,11,0.6824821829795837,0.5287960171699524,0.5129629471077942,0.7068794682063486,0.9183753035377494,"0.9225,0.9292,0.9034"
q200_k4_unconstrained,8,0.6789152026176453,0.529158353805542,0.5100541448645453,0.6755538656471491,0.6844897727734028,"0.5444,0.7413,0.7678"
q200_k4_wol_only,11,0.6842036247253418,0.5257765054702759,0.516215512290968,0.7308088198735606,0.9229685145725828,"0.9261,0.9301,0.9127"
q200_k5_linear_decay,11,0.7598671317100525,0.5080721378326416,0.5754833006345279,0.6226737611066285,0.7982240747903653,"0.8459,0.8371,0.7706,0.7393"
q200_k5_separable,13,0.7615395784378052,0.5094225406646729,0.5777219271663928,0.7482673720190249,0.885086423460247,"0.8799,0.8953,0.8856,0.8796"
q200_k5_static_item,13,0.7587974071502686,0.5067217350006104,0.5758457878143265,0.7456236144454321,0.912178304647798,"0.9133,0.9286,0.9215,0.8853"
q200_k6_linear_decay,11,0.7948830127716064,0.4768363833427429,0.610930851220719,0.7071178855932106,0.9257160093927276,"0.9168,0.9342,0.9386,0.9229,0.9162"
q200_k6_separable,11,0.7946946620941162,0.4721070528030395,0.6106022662866097,0.7429007082883519,0.9187836075919252,"0.9075,0.9375,0.9307,0.9135,0.9047"
q200_k6_static_item,15,0.791377067565918,0.470134824514389,0.609197297011162,0.7594400763208148,0.9268976675640996,"0.9413,0.9467,0.9341,0.9144,0.8980"
q500_k2_linear_decay,15,0.4275083839893341,0.7145273089408875,0.2678097518733064,0.7384287612281409,0.7505710194129035,0.7506
q500_k2_separable,9,0.4311688244342804,0.7161177396774292,0.2700938678638898,0.6937444082047455,0.6339488640580975,0.6339
q500_k2_static_item,13,0.4323581755161285,0.7167217135429382,0.2707402428439688,0.7413967017654002,0.7375542790006122,0.7376
q500_k3_linear_decay,11,0.6061661243438721,0.6014490127563477,0.4384927291511826,0.5557389709521663,0.8026157108697609,"0.8088,0.7964"
q500_k3_separable,14,0.6084650754928589,0.6052525639533997,0.4390039934815817,0.7846782098248894,0.8732498506470563,"0.8847,0.8618"
q500_k3_static_item,11,0.6075078845024109,0.604306697845459,0.4373846308218939,0.7556562600767904,0.8565193995589679,"0.8593,0.8538"
q500_k4_linear_decay,10,0.6971281170845032,0.5352120995521545,0.5233251047772324,0.4192192478994075,0.8179907497075036,"0.8031,0.8140,0.8370"
q500_k4_separable,12,0.7010774612426758,0.5386366248130798,0.5250313369162528,0.7989995994684906,0.8215333082581985,"0.8190,0.8316,0.8140"
q500_k4_static_item,15,0.6985456943511963,0.5382941961288452,0.5233661676517908,0.7848788877326298,0.9016730395938328,"0.9032,0.9171,0.8847"
q500_k5_linear_decay,13,0.7616833448410034,0.5075380206108093,0.5778441825797125,0.4089274900432746,0.8545809485080514,"0.8316,0.8719,0.8607,0.8542"
q500_k5_separable,15,0.7617923617362976,0.509025514125824,0.5778576282529289,0.8060898268179135,0.9307957842856254,"0.9209,0.9425,0.9405,0.9193"
q500_k5_static_item,13,0.7604564428329468,0.5058093070983887,0.5771708040642025,0.6864224452542662,0.9144082542676196,"0.8867,0.9267,0.9359,0.9083"
q500_k6_linear_decay,10,0.7976438403129578,0.4781324565410614,0.6116579153825008,0.2705621271455055,0.9392852527578636,"0.9100,0.9506,0.9490,0.9475,0.9392"
q500_k6_separable,14,0.7983859181404114,0.4777105748653412,0.6127613996443573,0.683292658772573,0.9342334942164005,"0.9251,0.9480,0.9533,0.9363,0.9084"
q500_k6_static_item,13,0.7959099411964417,0.4783534705638885,0.6103392934308692,0.5771941816543479,0.9343597745323364,"0.9149,0.9465,0.9472,0.9354,0.9278"
large_q1000_k2_dkvmn_ordinal,7,0.4223620295524597,0.711204469203949,0.2657529888643838,0.4226274770482794,0.7321037565788435,0.7321
large_q1000_k2_dkvmn_softmax,7,0.4099794924259186,0.7050735950469971,0.2587405038100754,,,
large_q1000_k2_dynamic_gpcm,14,0.3663262128829956,0.6833842396736145,0.2335798252311857,0.4214224589187582,0.9623825591850964,0.9624
large_q1000_k2_static_gpcm,15,0.0861431136727333,0.5430570244789124,0.0572905122276474,0.1741068377332998,0.954327935208542,0.9543
large_q1000_k3_dkvmn_ordinal,14,0.5995331406593323,0.5973749756813049,0.43397073597914,0.7392065021338865,0.8466108922918005,"0.8479,0.8454"
large_q1000_k3_dkvmn_softmax,13,0.5874258875846863,0.5938628911972046,0.426012156058037,,,"nan,nan"
large_q1000_k3_dynamic_gpcm,15,0.5217617750167847,0.5337561368942261,0.3893464080870311,0.4574646624890677,0.9535030190975282,"0.9505,0.9565"
large_q1000_k3_static_gpcm,15,0.1373571306467056,0.3965440988540649,0.1018175760522732,0.1501137809524822,0.9387030350457696,"0.9364,0.9410"
large_q1000_k4_dkvmn_ordinal,10,0.6934590339660645,0.5354533195495605,0.5202779612765436,0.6177923664635603,0.876313680990485,"0.8355,0.8945,0.8990"
large_q1000_k4_dkvmn_softmax,14,0.675392746925354,0.5350919365882874,0.5050820248871347,,,"nan,nan,nan"
large_q1000_k4_dynamic_gpcm,15,0.6099330186843872,0.4458564221858978,0.4780853935238753,0.3950071387062776,0.9530927710295788,"0.9464,0.9592,0.9537"
large_q1000_k4_static_gpcm,15,0.1356285512447357,0.301634132862091,0.1034294108572952,0.0750053158737842,0.918371635619145,"0.9154,0.9222,0.9175"
large_q1000_k5_dkvmn_ordinal,12,0.752518355846405,0.4969799220561981,0.5707669007668169,0.548258754439249,0.90268368623726,"0.8939,0.9189,0.9142,0.8837"
large_q1000_k5_dkvmn_softmax,12,0.7378195524215698,0.496919721364975,0.5599094140069489,,,"nan,nan,nan,nan"
large_q1000_k5_dynamic_gpcm,15,0.6604283452033997,0.3741697371006012,0.5330601105122946,0.299807114972476,0.9540276778960688,"0.9439,0.9619,0.9628,0.9475"
large_q1000_k5_static_gpcm,15,0.1316977739334106,0.2406638115644455,0.1060875685163275,0.0940793864034796,0.8902804870678973,"0.8775,0.8916,0.8979,0.8942"
large_q1000_k6_dkvmn_ordinal,15,0.7894530892372131,0.4653419554233551,0.605651058073503,0.7023692922503666,0.9132894455462937,"0.9023,0.9272,0.9327,0.9207,0.8835"
large_q1000_k6_dkvmn_softmax,15,0.7760003805160522,0.4674515724182129,0.595151735913309,,,"nan,nan,nan,nan,nan"
large_q1000_k6_dynamic_gpcm,15,0.6848660111427307,0.3182913959026336,0.5649132953397653,0.2161429625185391,0.9524582258608462,"0.9396,0.9579,0.9624,0.9582,0.9442"
large_q1000_k6_static_gpcm,15,0.1192766800522804,0.19854536652565,0.1034760404799341,0.0795942386610252,0.8781523046623244,"0.8682,0.8821,0.8840,0.8813,0.8752"
large_q2000_k2_dkvmn_ordinal,7,0.4287095367908478,0.7143558263778687,0.2693130277661388,0.2993661374691993,0.7320252372410777,0.7320
large_q2000_k2_dkvmn_softmax,15,0.4144665002822876,0.7072868943214417,0.2612974386664073,,,
large_q2000_k2_dynamic_gpcm,15,0.3601857125759125,0.6800714731216431,0.2301937624524843,0.2532151525567779,0.9438418356491316,0.9438
large_q2000_k2_static_gpcm,15,0.0858460888266563,0.5429143905639648,0.0570932153586416,0.0536867747837172,0.9282634660966478,0.9283
large_q2000_k3_dkvmn_ordinal,12,0.6129354238510132,0.6061550378799438,0.4420756359384309,0.4913432431173494,0.7098598046523643,"0.6789,0.7408"
large_q2000_k3_dkvmn_softmax,14,0.597654402256012,0.6044104695320129,0.4301149448981955,,,"nan,nan"
large_q2000_k3_dynamic_gpcm,15,0.5055854916572571,0.5177300572395325,0.3784527697640218,0.3226518915695928,0.9402169297272313,"0.9360,0.9444"
large_q2000_k3_static_gpcm,15,0.1451795846223831,0.3903361856937408,0.1110163145788552,0.0493333435916546,0.916474625837939,"0.9123,0.9207"
large_q2000_k4_dkvmn_ordinal,10,0.7001032829284668,0.538756251335144,0.5238450964542902,0.2938887569299387,0.8987348600488251,"0.8710,0.9116,0.9136"
large_q2000_k4_dkvmn_softmax,15,0.6818269491195679,0.537773847579956,0.5077145399040712,,,"nan,nan,nan"
large_q2000_k4_dynamic_gpcm,15,0.5845166444778442,0.4148541092872619,0.4677819000288299,0.2812187333946936,0.9392882553670548,"0.9250,0.9488,0.9441"
large_q2000_k4_static_gpcm,15,0.1437410563230514,0.2928971350193023,0.1202877201931775,0.0237332366571754,0.8986494911744254,"0.8859,0.9066,0.9034"
large_q2000_k5_dkvmn_ordinal,14,0.7628876566886902,0.5046097040176392,0.577459076007833,0.3512259425104865,0.9236154808691222,"0.9029,0.9378,0.9371,0.9166"
large_q2000_k5_dkvmn_softmax,15,0.7416316270828247,0.502565324306488,0.559414480463925,,,"nan,nan,nan,nan"
large_q2000_k5_dynamic_gpcm,15,0.6298981308937073,0.335869163274765,0.5264556517725036,0.1090863172567637,0.9402173468229869,"0.9267,0.9477,0.9491,0.9374"
large_q2000_k5_static_gpcm,15,0.1186205446720123,0.2316054403781891,0.1094475506969556,0.0297872692387737,0.8662769954952945,"0.8478,0.8704,0.8755,0.8714"
large_q2000_k6_dkvmn_ordinal,13,0.8017898797988892,0.4755598306655884,0.6129710282707994,0.2815547244618946,0.9331163777582032,"0.9116,0.9443,0.9467,0.9404,0.9226"
large_q2000_k6_dkvmn_softmax,15,0.7766817808151245,0.4737966060638428,0.589812034922189,,,"nan,nan,nan,nan,nan"
large_q2000_k6_dynamic_gpcm,15,0.6602516770362854,0.2850733697414398,0.5657800972938468,0.081706270852202,0.9424707760011336,"0.9232,0.9475,0.9538,0.9511,0.9367"
large_q2000_k6_static_gpcm,15,0.0950685292482376,0.1939737051725387,0.1045440548112102,0.0273224602000916,0.8493020853923889,"0.8198,0.8495,0.8621,0.8597,0.8554"
large_q200_k2_dkvmn_ordinal,14,0.4100954234600067,0.7057924270629883,0.2581375268224328,0.8109519629470842,0.806213658833006,0.8062
large_q200_k2_dkvmn_softmax,7,0.4033086001873016,0.7023318409919739,0.2543834271735543,,,
large_q200_k2_dynamic_gpcm,15,0.3608842492103576,0.6813673377037048,0.2298199445849635,0.4898406508900014,0.9715338223661608,0.9715
large_q200_k2_static_gpcm,15,0.1121063306927681,0.5566263794898987,0.0743252888095375,0.182549011535983,0.9600150990832592,0.9600
large_q200_k3_dkvmn_ordinal,9,0.5923705697059631,0.5955334305763245,0.429901715698388,0.7544507963568793,0.8159802888292382,"0.8143,0.8177"
large_q200_k3_dkvmn_softmax,8,0.5778879523277283,0.5974867939949036,0.4177110067833864,,,"nan,nan"
large_q200_k3_dynamic_gpcm,15,0.5332895517349243,0.5493173599243164,0.3952369538874631,0.5783599134136227,0.962396294071532,"0.9596,0.9652"
large_q200_k3_static_gpcm,15,0.1680110991001129,0.4069435000419616,0.1248062578138043,0.1547573905509379,0.9403895859066316,"0.9400,0.9408"
large_q200_k4_dkvmn_ordinal,11,0.6824821829795837,0.5287960171699524,0.5129629471077942,0.7068794681718398,0.9183753035460368,"0.9225,0.9292,0.9034"
large_q200_k4_dkvmn_softmax,14,0.6672065854072571,0.5309499502182007,0.5011289010267324,,,"nan,nan,nan"
large_q200_k4_dynamic_gpcm,15,0.6186386942863464,0.4594681560993194,0.4782424372076051,0.63446844537394,0.9492485233566288,"0.9386,0.9576,0.9516"
large_q200_k4_static_gpcm,15,0.1556832492351532,0.3095597624778747,0.1172465352409293,0.1458548508186451,0.9006792610614885,"0.8898,0.9064,0.9058"
large_q200_k5_dkvmn_ordinal,13,0.7587974071502686,0.5067217350006104,0.5758457878143265,0.7456236145272055,0.9121783046608606,"0.9133,0.9286,0.9215,0.8853"
large_q200_k5_dkvmn_softmax,13,0.7401729822158813,0.5108334422111511,0.5594707737909511,,,"nan,nan,nan,nan"
large_q200_k5_dynamic_gpcm,15,0.6806342005729675,0.3888340294361114,0.5406148211234356,0.4544392691056015,0.9556143755468114,"0.9413,0.9597,0.9680,0.9534"
large_q200_k5_static_gpcm,15,0.1775380373001098,0.261614441871643,0.1393811529398827,0.1205206401221384,0.8786684766501323,"0.8700,0.8723,0.8906,0.8818"
large_q200_k6_dkvmn_ordinal,15,0.791377067565918,0.470134824514389,0.609197297011162,0.7594400762431613,0.9268976675540138,"0.9413,0.9467,0.9341,0.9144,0.8980"
large_q200_k6_dkvmn_softmax,14,0.7734245657920837,0.4761320054531097,0.5914640993759109,,,"nan,nan,nan,nan,nan"
large_q200_k6_dynamic_gpcm,15,0.7036208510398865,0.337190568447113,0.5687271590905901,0.2458074317139996,0.9477439822391552,"0.9466,0.9583,0.9563,0.9469,0.9306"
large_q200_k6_static_gpcm,15,0.1502968519926071,0.2155967056751251,0.1226981285977598,0.1075917567930475,0.8431909845864116,"0.8346,0.8384,0.8459,0.8514,0.8457"
large_q500_k2_dkvmn_ordinal,13,0.4323581755161285,0.7167217135429382,0.2707402428439688,0.7413967018652369,0.7375542790006122,0.7376
large_q500_k2_dkvmn_softmax,8,0.4223245978355407,0.7124134302139282,0.2644301603914169,,,
large_q500_k2_dynamic_gpcm,14,0.3831070065498352,0.6918384432792664,0.2432396657387879,0.4416768833363927,0.9724989936932652,0.9725
large_q500_k2_static_gpcm,15,0.1122382208704948,0.5567120313644409,0.0744084921162137,0.1485042741699617,0.9638411746864644,0.9638
large_q500_k3_dkvmn_ordinal,11,0.6075078845024109,0.604306697845459,0.4373846308218939,0.7556562599757111,0.8565193995589679,"0.8593,0.8538"
large_q500_k3_dkvmn_softmax,15,0.5938764214515686,0.6043268442153931,0.42831656901912,,,"nan,nan"
large_q500_k3_dynamic_gpcm,15,0.537895143032074,0.5455423593521118,0.3992214988212,0.5196925586755661,0.9598331518018692,"0.9578,0.9618"
large_q500_k3_static_gpcm,15,0.1740797460079193,0.4108875095844269,0.129736820432615,0.104737050372418,0.9442449116177604,"0.9425,0.9460"
large_q500_k4_dkvmn_ordinal,15,0.6985456943511963,0.5382941961288452,0.5233661676517908,0.7848788877719058,0.9016730395862944,"0.9032,0.9171,0.8847"
large_q500_k4_dkvmn_softmax,15,0.6774006485939026,0.5381531715393066,0.5067792589401781,,,"nan,nan,nan"
large_q500_k4_dynamic_gpcm,15,0.6210554838180542,0.4571532309055328,0.482222281216035,0.5426653038116839,0.951251061787894,"0.9425,0.9572,0.9540"
large_q500_k4_static_gpcm,15,0.1634140312671661,0.3161033093929291,0.1247073202875591,0.1147018998521417,0.914951195322662,"0.9106,0.9173,0.9169"
large_q500_k5_dkvmn_ordinal,13,0.7604564428329468,0.5058093070983887,0.5771708040642025,0.6864224453499809,0.9144082542659496,"0.8867,0.9267,0.9359,0.9083"
large_q500_k5_dkvmn_softmax,13,0.7439278364181519,0.5069550275802612,0.5621496680638344,,,"nan,nan,nan,nan"
large_q500_k5_dynamic_gpcm,15,0.6771491169929504,0.3880558013916015,0.5423743853742863,0.3797684798772815,0.95552011777925,"0.9484,0.9644,0.9622,0.9471"
large_q500_k5_static_gpcm,15,0.1620034724473953,0.250080406665802,0.1273538269902346,0.0728400356696846,0.886148399109092,"0.8825,0.8892,0.8905,0.8823"
large_q500_k6_dkvmn_ordinal,13,0.7959099411964417,0.4783534705638885,0.6103392934308692,0.5771941814285627,0.934359774528182,"0.9149,0.9465,0.9472,0.9354,0.9278"
large_q500_k6_dkvmn_softmax,14,0.7787517309188843,0.4754404723644256,0.596504305637652,,,"nan,nan,nan,nan,nan"
large_q500_k6_dynamic_gpcm,15,0.6995846033096313,0.3292685449123382,0.5701749879648746,0.2571070505117803,0.9475674267335256,"0.9392,0.9536,0.9554,0.9520,0.9377"
large_q500_k6_static_gpcm,15,0.1317038685083389,0.2065411806106567,0.110657052667028,0.063580118217527,0.8608757303357821,"0.8549,0.8576,0.8635,0.8678,0.8606"
