experiment,best_epoch,qwk,acc,tau
large_q1000_k2_dkvmn_ordinal,7,0.4223620295524597,0.711204469203949,0.2657529888643838
large_q1000_k2_dkvmn_softmax,7,0.4099794924259186,0.7050735950469971,0.2587405038100754
large_q1000_k2_dynamic_gpcm,14,0.3663262128829956,0.6833842396736145,0.2335798252311857
large_q1000_k2_static_gpcm,15,0.0861431136727333,0.5430570244789124,0.0572905122276474
large_q1000_k3_dkvmn_ordinal,14,0.5995331406593323,0.5973749756813049,0.43397073597914
large_q1000_k3_dkvmn_softmax,13,0.5874258875846863,0.5938628911972046,0.426012156058037
large_q1000_k3_dynamic_gpcm,15,0.5217617750167847,0.5337561368942261,0.3893464080870311
large_q1000_k3_static_gpcm,15,0.1373571306467056,0.3965440988540649,0.1018175760522732
large_q1000_k4_dkvmn_ordinal,10,0.6934590339660645,0.5354533195495605,0.5202779612765436
large_q1000_k4_dkvmn_softmax,14,0.675392746925354,0.5350919365882874,0.5050820248871347
large_q1000_k4_dynamic_gpcm,15,0.6099330186843872,0.4458564221858978,0.4780853935238753
large_q1000_k4_static_gpcm,15,0.1356285512447357,0.301634132862091,0.1034294108572952
large_q1000_k5_dkvmn_ordinal,12,0.752518355846405,0.4969799220561981,0.5707669007668169
large_q1000_k5_dkvmn_softmax,12,0.7378195524215698,0.496919721364975,0.5599094140069489
large_q1000_k5_dynamic_gpcm,15,0.6604283452033997,0.3741697371006012,0.5330601105122946
large_q1000_k5_static_gpcm,15,0.1316977739334106,0.2406638115644455,0.1060875685163275
large_q1000_k6_dkvmn_ordinal,15,0.7894530892372131,0.4653419554233551,0.605651058073503
large_q1000_k6_dkvmn_softmax,15,0.7760003805160522,0.4674515724182129,0.595151735913309
large_q1000_k6_dynamic_gpcm,15,0.6848660111427307,0.3182913959026336,0.5649132953397653
large_q1000_k6_static_gpcm,15,0.1192766800522804,0.19854536652565,0.1034760404799341
large_q2000_k2_dkvmn_ordinal,7,0.4287095367908478,0.7143558263778687,0.2693130277661388
large_q2000_k2_dkvmn_softmax,15,0.4144665002822876,0.7072868943214417,0.2612974386664073
large_q2000_k2_dynamic_gpcm,15,0.3601857125759125,0.6800714731216431,0.2301937624524843
large_q2000_k2_static_gpcm,15,0.0858460888266563,0.5429143905639648,0.0570932153586416
large_q2000_k3_dkvmn_ordinal,12,0.6129354238510132,0.6061550378799438,0.4420756359384309
large_q2000_k3_dkvmn_softmax,14,0.597654402256012,0.6044104695320129,0.4301149448981955
large_q2000_k3_dynamic_gpcm,15,0.5055854916572571,0.5177300572395325,0.3784527697640218
large_q2000_k3_static_gpcm,15,0.1451795846223831,0.3903361856937408,0.1110163145788552
large_q2000_k4_dkvmn_ordinal,10,0.7001032829284668,0.538756251335144,0.5238450964542902
large_q2000_k4_dkvmn_softmax,15,0.6818269491195679,0.537773847579956,0.5077145399040712
large_q2000_k4_dynamic_gpcm,15,0.5845166444778442,0.4148541092872619,0.4677819000288299
large_q2000_k4_static_gpcm,15,0.1437410563230514,0.2928971350193023,0.1202877201931775
large_q2000_k5_dkvmn_ordinal,14,0.7628876566886902,0.5046097040176392,0.577459076007833
large_q2000_k5_dkvmn_softmax,15,0.7416316270828247,0.502565324306488,0.559414480463925
large_q2000_k5_dynamic_gpcm,15,0.6298981308937073,0.335869163274765,0.5264556517725036
large_q2000_k5_static_gpcm,15,0.1186205446720123,0.2316054403781891,0.1094475506969556
large_q2000_k6_dkvmn_ordinal,13,0.8017898797988892,0.4755598306655884,0.6129710282707994
large_q2000_k6_dkvmn_softmax,15,0.7766817808151245,0.4737966060638428,0.589812034922189
large_q2000_k6_dynamic_gpcm,15,0.6602516770362854,0.2850733697414398,0.5657800972938468
large_q2000_k6_static_gpcm,15,0.0950685292482376,0.1939737051725387,0.1045440548112102
large_q200_k2_dkvmn_ordinal,14,0.4100954234600067,0.7057924270629883,0.2581375268224328
large_q200_k2_dkvmn_softmax,7,0.4033086001873016,0.7023318409919739,0.2543834271735543
large_q200_k2_dynamic_gpcm,15,0.3608842492103576,0.6813673377037048,0.2298199445849635
large_q200_k2_static_gpcm,15,0.1121063306927681,0.5566263794898987,0.0743252888095375
large_q200_k3_dkvmn_ordinal,9,0.5923705697059631,0.5955334305763245,0.429901715698388
large_q200_k3_dkvmn_softmax,8,0.5778879523277283,0.5974867939949036,0.4177110067833864
large_q200_k3_dynamic_gpcm,15,0.5332895517349243,0.5493173599243164,0.3952369538874631
large_q200_k3_static_gpcm,15,0.1680110991001129,0.4069435000419616,0.1248062578138043
large_q200_k4_dkvmn_ordinal,11,0.6824821829795837,0.5287960171699524,0.5129629471077942
large_q200_k4_dkvmn_softmax,14,0.6672065854072571,0.5309499502182007,0.5011289010267324
large_q200_k4_dynamic_gpcm,15,0.6186386942863464,0.4594681560993194,0.4782424372076051
large_q200_k4_static_gpcm,15,0.1556832492351532,0.3095597624778747,0.1172465352409293
large_q200_k5_dkvmn_ordinal,13,0.7587974071502686,0.5067217350006104,0.5758457878143265
large_q200_k5_dkvmn_softmax,13,0.7401729822158813,0.5108334422111511,0.5594707737909511
large_q200_k5_dynamic_gpcm,15,0.6806342005729675,0.3888340294361114,0.5406148211234356
large_q200_k5_static_gpcm,15,0.1775380373001098,0.261614441871643,0.1393811529398827
large_q200_k6_dkvmn_ordinal,15,0.791377067565918,0.470134824514389,0.609197297011162
large_q200_k6_dkvmn_softmax,14,0.7734245657920837,0.4761320054531097,0.5914640993759109
large_q200_k6_dynamic_gpcm,15,0.7036208510398865,0.337190568447113,0.5687271590905901
large_q200_k6_static_gpcm,15,0.1502968519926071,0.2155967056751251,0.1226981285977598
large_q500_k2_dkvmn_ordinal,13,0.4323581755161285,0.7167217135429382,0.2707402428439688
large_q500_k2_dkvmn_softmax,8,0.4223245978355407,0.7124134302139282,0.2644301603914169
large_q500_k2_dynamic_gpcm,14,0.3831070065498352,0.6918384432792664,0.2432396657387879
large_q500_k2_static_gpcm,15,0.1122382208704948,0.5567120313644409,0.0744084921162137
large_q500_k3_dkvmn_ordinal,11,0.6075078845024109,0.604306697845459,0.4373846308218939
large_q500_k3_dkvmn_softmax,15,0.5938764214515686,0.6043268442153931,0.42831656901912
large_q500_k3_dynamic_gpcm,15,0.537895143032074,0.5455423593521118,0.3992214988212
large_q500_k3_static_gpcm,15,0.1740797460079193,0.4108875095844269,0.129736820432615
large_q500_k4_dkvmn_ordinal,15,0.6985456943511963,0.5382941961288452,0.5233661676517908
large_q500_k4_dkvmn_softmax,15,0.6774006485939026,0.5381531715393066,0.5067792589401781
large_q500_k4_dynamic_gpcm,15,0.6210554838180542,0.4571532309055328,0.482222281216035
large_q500_k4_static_gpcm,15,0.1634140312671661,0.3161033093929291,0.1247073202875591
large_q500_k5_dkvmn_ordinal,13,0.7604564428329468,0.5058093070983887,0.5771708040642025
large_q500_k5_dkvmn_softmax,13,0.7439278364181519,0.5069550275802612,0.5621496680638344
large_q500_k5_dynamic_gpcm,15,0.6771491169929504,0.3880558013916015,0.5423743853742863
large_q500_k5_static_gpcm,15,0.1620034724473953,0.250080406665802,0.1273538269902346
large_q500_k6_dkvmn_ordinal,13,0.7959099411964417,0.4783534705638885,0.6103392934308692
large_q500_k6_dkvmn_softmax,14,0.7787517309188843,0.4754404723644256,0.596504305637652
large_q500_k6_dynamic_gpcm,15,0.6995846033096313,0.3292685449123382,0.5701749879648746
large_q500_k6_static_gpcm,15,0.1317038685083389,0.2065411806106567,0.110657052667028
